Reference,Nom_Produit,Categorie,Sous_Categorie,Specs,Poids_kg,Type_OrkMap
3106,Chaise orchestre standard,Chaises,Orchestre,"H48/50/52cm empilable x6",6,chaise_standard
3107,Chaise orchestre sync adjustment,Chaises,Orchestre,"Inclinaison sync jusqu'à 15°",6.5,chaise_standard
3100,Chaise orchestre comfort,Chaises,Orchestre,"Inclinaison 20° empilable x8",8.5,chaise_standard
3100H,Chaise orchestre comfort réglable hauteur,Chaises,Orchestre,"H46-52cm réglable",9,chaise_standard
3109,Chaise orchestre bois (hêtre),Chaises,Orchestre,"Cadre bois hêtre empilable x5",5,chaise_standard
3105,Chaise orchestre/harpe comfort line,Chaises,Comfort line,"H42-55cm ou H50-70cm 5 pieds",9,chaise_comfort
3105T,Chaise tuba comfort line,Chaises,Comfort line,"Assise large tuba",10,chaise_tuba
3111,Chaise cuivres comfort line,Chaises,Comfort line,"H50-70cm repose-pieds triangulaire",11,chaise_cuivres
3106P,Chaise orchestre plateforme 20cm,Chaises,Plateforme,"H48/50/52cm + plateforme empilable x5",11,chaise_plateforme
3100HP,Chaise comfort plateforme,Chaises,Plateforme,"Comfort + plateforme",14,chaise_plateforme
3114,Chaise comfort line plateforme,Chaises,Plateforme,"Comfort line + plateforme",16,chaise_plateforme
3113,Tabouret piano/célesta rond,Chaises,Piano/Célesta,"Ø38cm H42-55cm pivotant",6,tabouret_piano
3113D,Tabouret piano/célesta non-pivotant,Chaises,Piano/Célesta,"Ø38cm H42-55cm fixe",6,tabouret_piano
3090,Chaise contrebasse comfort F-shape,Chaises,Contrebasse,"H68-81cm 2 repose-pieds forme F",12,chaise_CB
3090RS,Chaise contrebasse assise ronde,Chaises,Contrebasse,"H68-81cm assise ronde",12,chaise_CB
3110RS,Chaise contrebasse repose-pieds triangulaire,Chaises,Contrebasse,"H60-86cm repose-pieds triangulaire",11,chaise_CB
3110RSF,Chaise contrebasse repose-pieds spéciaux,Chaises,Contrebasse,"H60-86cm repose-pieds spéciaux",13,chaise_CB
3092,Tabouret contrebasse voyage,Chaises,CB voyage,"H68-81cm pliant",8.5,tabouret_CB_voyage
3093,Tabouret contrebasse voyage repose-pieds étages,Chaises,CB voyage,"H72-85cm repose-pieds étagé",7.5,tabouret_CB_voyage
3093_2F,Tabouret contrebasse 2 repose-pieds réglables,Chaises,CB voyage,"H72-85cm 2 repose-pieds réglables",8.5,tabouret_CB_voyage
3094,Tabouret contrebasse démontable,Chaises,CB voyage,"H62-86cm démontable",4.8,tabouret_CB_voyage
3095,Tabouret contrebasse pneumatique,Chaises,CB voyage,"H60-86cm pneumatique",6,tabouret_CB_voyage
3095SL,Tabouret contrebasse comfort voyage,Chaises,CB voyage,"H60-86cm comfort",10,tabouret_CB_voyage
3110,Chaise timbalier/percu pivotante,Chaises,Timbalier/Percu,"H58-84cm 5 pieds pivotante",11,chaise_timbalier
3110TR,Chaise timbalier/percu roulettes,Chaises,Timbalier/Percu,"H57-77cm roulettes",12,chaise_timbalier
3112,Tabouret percu/timbalier,Chaises,Timbalier/Percu,"H58-84cm tabouret",7,tabouret_percu
3110D,Chaise chef d'orchestre pivotante,Chaises,Chef,"H58-84cm pivotante",11,chaise_chef
3106D,Chaise chef d'orchestre standard,Chaises,Chef,"Sur base 3106",6,chaise_chef
3114D,Chaise chef comfort line,Chaises,Chef,"Comfort line chef",16,chaise_chef
3110R,Chaise directeur,Chaises,Directeur,"Pivotante avec accoudoirs",12,chaise_directeur
3110RR,Chaise directeur renforcée,Chaises,Directeur,"Pivotante renforcée accoudoirs",13,chaise_directeur
3116C,Tabouret violoncelle voyage,Chaises,Violoncelle,"Pliant voyage",5,tabouret_vlc
100G,Base 3 pieds caoutchouc,Stands,Bases,"3 pieds Ø20mm caoutchouc",3.72,base_stand
100R,Base 3 pieds roulettes,Stands,Bases,"3 pieds roulettes",4,base_stand
100V,Base télescopique,Stands,Bases,"Télescopique",4,base_stand
110R,Base 3 pieds roulettes Ø25mm,Stands,Bases,"3 pieds Ø25mm roulettes",5,base_stand
110H,Base 4 pieds roulettes,Stands,Bases,"4 pieds roulettes",8.4,base_stand
120,Support chariot,Stands,Bases,"Chariot",8,base_chariot
120S,Support chariot court,Stands,Bases,"Chariot court",7,base_chariot
130,Tube insert Ø25x500mm,Stands,Bases,"Ø25x500mm",1,tube_insert
130K,Tube insert Ø25x500mm courbé,Stands,Bases,"Ø25x500mm courbé",1,tube_insert
130R,Tube insert Ø25x500mm roulettes,Stands,Bases,"Ø25x500mm roulettes",1.5,tube_insert
130KR,Tube insert Ø25x500mm courbé roulettes,Stands,Bases,"Ø25x500mm courbé roulettes",1.5,tube_insert
160-169,Tubes insert Ø16mm (100-1100mm),Stands,Tubes insert,"Ø16mm longueurs 100-1100mm",0.5,tube_insert
200-209,Tubes insert Ø20mm (200-1100mm),Stands,Tubes insert,"Ø20mm longueurs 200-1100mm",0.7,tube_insert
122,Tube transversal Ø20x1100mm,Stands,Tubes transversaux,"Ø20x1100mm",1,tube_transversal
122S,Tube transversal Ø20x1100mm court,Stands,Tubes transversaux,"Ø20x1100mm court",0.8,tube_transversal
125,Tube transversal Ø25x1100mm,Stands,Tubes transversaux,"Ø25x1100mm",1.2,tube_transversal
125S,Tube transversal Ø25x1100mm court,Stands,Tubes transversaux,"Ø25x1100mm court",1,tube_transversal
223-229M4,Tubes transversaux carrés (300-2000mm),Stands,Tubes transversaux,"Carrés 300-2000mm",1.5,tube_transversal
115,Anneau de réglage clip-bolt Ø20mm,Stands,Anneaux/Crochets,"Clip-bolt Ø20mm",0.1,anneau
115D,Anneau de réglage double Ø20mm,Stands,Anneaux/Crochets,"Double Ø20mm",0.15,anneau
115L,Anneau de réglage long Ø20mm,Stands,Anneaux/Crochets,"Long Ø20mm",0.12,anneau
115R,Anneau de réglage Ø20mm rotatif,Stands,Anneaux/Crochets,"Ø20mm rotatif",0.12,anneau
115S,Anneau de réglage Ø20mm court,Stands,Anneaux/Crochets,"Ø20mm court",0.08,anneau
116,Anneau de réglage clip-bolt Ø25mm,Stands,Anneaux/Crochets,"Clip-bolt Ø25mm",0.12,anneau
116D,Anneau de réglage double Ø25mm,Stands,Anneaux/Crochets,"Double Ø25mm",0.18,anneau
116S,Anneau de réglage Ø25mm court,Stands,Anneaux/Crochets,"Ø25mm court",0.1,anneau
116UL,Anneau de réglage Ø25mm universel long,Stands,Anneaux/Crochets,"Ø25mm universel long",0.15,anneau
117,Anneau jumeau 20mm,Stands,Anneaux jumeaux,"Double 20mm",0.2,anneau_jumeau
117W,Anneau jumeau 25mm,Stands,Anneaux jumeaux,"Double 25mm",0.25,anneau_jumeau
113S,Anneau jumeau 30mm,Stands,Anneaux jumeaux,"Double 30mm",0.3,anneau_jumeau
200U,Adaptateur universel,Stands,Adaptateurs,"Universel",0.1,adaptateur
115US,Adaptateur US,Stands,Adaptateurs,"Standard US",0.1,adaptateur
222SO,Adaptateur tube carré,Stands,Adaptateurs,"Pour tube carré",0.15,adaptateur
251,Adaptateur standard,Stands,Adaptateurs,"Standard",0.1,adaptateur
252,Adaptateur renforcé,Stands,Adaptateurs,"Renforcé",0.12,adaptateur
260-268,Supports coulissants (Ø10-20mm),Stands,Supports coulissants,"Pour crotales/lithophon Ø10-20mm",0.2,support_coulissant
249,Support de triangle,Stands,Supports jeu,"Triangle col de cygne",0.3,support_triangle
249C,Support de crotales,Stands,Supports jeu,"Crotales",0.3,support_crotales
