id	ref	cat3	slug	page_title
671	CEL 1051 04	celestas	celesta-schiedmayer-5-octaves-do3-do8	Célesta Schiedmayer (ancien modèle) - Célestas - Instruments de percussion
673	CEL 1054 04	celestas	celesta-schiedmayer-compact-5-octaves-1-2-do3-fa8	Célesta Schiedmayer modèle Compact (ancien modèle) - Célestas - Instruments de percussion
674	CEL 1055 04	celestas	celesta-schiedmayer-studio-5-octaves-1-2	Célesta Schiedmayer modèle Studio (ancien modèle) - Célestas - Instruments de percussion
675	CEL SM2035	glockenspiels	glockenspiel-a-clavier-schiedmayer-pagageno-3-octaves-1-2-do5-sol8	Glockenspiel à clavier SCHIEDMAYER Pagageno, 3 octaves 1/2 Do5-Sol8 - Glockenspiels - Instruments de percussion
676	CEL 2055 04	celestas	celesta-yamaha-5-octaves-1-2	Célesta Yamaha (ancien modèle) - Célestas - Instruments de percussion
925	CLT DC90 04	cloches-tubes	cloches-tubes-deagan-symphonic-chrome-1-octave-1-2	Cloches-tubes Deagan Symphonic - Cloches-tubes - Instruments de percussion
929	CLT 2001 04	cloches-tubes	cloches-tubes-adams-symphonic-chrome-1-octave-1-2	Cloches-tubes ADAMS BK2201 Standard laiton chromé - Cloches-tubes - Instruments de percussion
930	CLT 3003 04	cloches-tubes	cloches-tubes-adams-symphonic-laiton-chrome-1-octave-1-2	Cloches-tubes ADAMS BK3203 Symphonic laiton chromé - Cloches-tubes - Instruments de percussion
932	CLT 5003 04	cloches-tubes	cloches-tubes-adams-philharmonic-chrome-1-octave-1-2	Cloches-tubes ADAMS BK5203 Philharmonic laiton chromé - Cloches-tubes - Instruments de percussion
933	CLT 5003S04	cloches-tubes	cloches-tubes-adams-philharmonic-satine-1-octave-1-2	Cloches-tubes ADAMS BKL5203 Philharmonic laiton satiné - Cloches-tubes - Instruments de percussion
2601	GLO 30BERF	glockenspiels	glockenspiel-bergerault-radio-france-3-octaves-fa5-mi8	glockenspiel à pédale BERGERAULT Radio France 3 octaves, fa5-mi8 (ancien modèle) - Glockenspiels - Instruments de percussion
2602	GLO 30BERFR	glockenspiels	glockenspiel-bergerault-radio-france-3-octaves-fa5-mi8-reglable	Glockenspiel à pédale BERGERAULT Radio France, 3 octaves Fa5-Mi8 - Glockenspiels - Instruments de percussion
2605	GLO 25YA250D	glockenspiels	glockenspiel-yamaha-250d-2-octaves-1-2-fa5-do8	Glockenspiel valise YAMAHA YG-⁠250D, 2 octaves 1/2 Fa5-Do8 - Glockenspiels - Instruments de percussion
2606	GLO 25MU645	glockenspiels	glockenspiel-musser-m645-2-octaves-1-2-sol5-do8	Glockenspiel valise MUSSER M645, 2 octaves 1/2 Sol5-Do8 - Glockenspiels - Instruments de percussion
2607	GLO 25MU646	glockenspiels	glockenspiel-musser-m646-2-octaves-1-2-sol5-do8-avec-etouffoir	Glockenspiel valise MUSSER M646, 2 octaves 1/2 Sol5-Do8 - Glockenspiels - Instruments de percussion
2611	GLO 25YA1210	glockenspiels	glockenspiel-yamaha-1210-2-octaves-1-2-fa5-do8	Glockenspiel valise YAMAHA YG-⁠1210, 2 octaves 1/2 Fa5-Do8 - Glockenspiels - Instruments de percussion
2612	GLO 1590 04	glockenspiels	glockenspiel-deagan-2-octaves-1-2	glockenspiel valise DEAGAN DG1590B - Glockenspiels - Instruments de percussion
2613	GLO 2001 04	glockenspiels	glockenspiel-saito-2001-2-octaves-1-2	glockenspiel valise SAITO 2001 - Glockenspiels - Instruments de percussion
2614	LO GLO3001	glockenspiels	glockenspiel-saito-3001-2-octaves-1-2	glockenspiel valise SAITO 30012 octaves 1/2, fa5-do8 - Glockenspiels - Instruments de percussion
3531	MAR 50ADAHC5	marimbas	marimba-adams-artist-classic-5-octaves	Marimba ADAMS MAHC50 Artist Concert5 octaves do2-do7, Clavier Palissandre du Honduras - Marimbas - Instruments de percussion
3533	MAR 43ADAHV1	marimbas	marimba-adams-artist-van-sice-4-octaves-1-3	Marimba ADAMS Robert Van Sice - Marimbas - Instruments de percussion
3534	MAR 46ADAHV2	marimbas	marimba-adams-artist-van-sice-4-octaves-2-3	Marimba ADAMS MAHV46 Artist Robert Van Sice4 octaves 2/3 mi2-do7, Clavier Palissandre du Honduras - Marimbas - Instruments de percussion
3536	MAR 50ADAHV5	marimbas	marimba-adams-artist-van-sice-5-octaves	Marimba ADAMS MAHV50 Artist Robert Van Sice5 octaves do2-do7, Clavier Palissandre du Honduras (old) - Marimbas - Instruments de percussion
3537	MAR 30ADMSPV	marimbas	marimba-adams-junior-3-octaves	Marimba ADAMS MSPV30 Junior 3 octaves do3-do6, Clavier Padouk - Marimbas - Instruments de percussion
3538	MAR 40ADMSPV	marimbas	marimba-adams-junior-4-octaves	Marimba ADAMS MSPV40 Solist Voyager4 octaves do3-do7, Clavier Padouk - Marimbas - Instruments de percussion
3541	MAR 43ADMCHV	marimbas	marimba-adams-concert-voyager-4-octaves-1-3-palissandre	Marimba ADAMS MCHV43 Concert Voyager4 octaves 1/3 la2-do7, Clavier Palissandre du Honduras - Marimbas - Instruments de percussion
3544	MAR 43ADMCPV	marimbas	marimba-adams-concert-voyager-4-octaves-1-3-padouk	Marimba ADAMS MCPV43 Concert Voyager4 octaves 1/3 la2-do7, Clavier Padouk - Marimbas - Instruments de percussion
3546	MAR 43ADMSHV	marimbas	marimba-adams-solist-voyager-4-octaves-1-3-palissandre	Marimba ADAMS MSHV43 Solist Voyager4 octaves 1/3 la2-do7, Clavier Palissandre du Honduras - Marimbas - Instruments de percussion
3549	MAR 43ADMSPV	marimbas	marimba-adams-solist-voyager-4-octaves-1-3-padouk	Marimba ADAMS MSPV43 Solist Voyager4 octaves 1/3 la2-do7, Clavier Padouk - Marimbas - Instruments de percussion
3560	MAR 43YA1430	marimbas	marimba-yamaha-kym-1430-4-octaves-1-3-padouk	Marimba YAMAHA YM-⁠1430 4 octaves 1/3 la2-do7, Clavier Padouk - Marimbas - Instruments de percussion
3561	MAR 43YA2400R	marimbas	marimba-yamahaym-2400r-4-octaves-1-3-palissandre	Marimba YAMAHA YM-⁠2400R 4 octaves 1/3 la2-do7, Clavier Palissandre du Honduras - Marimbas - Instruments de percussion
3564	MAR 43CO4001	marimbas	marimba-concorde-m4001-4-octaves-1-3	Marimba CONCORDE M40014 octaves 1/3 la2-do7, Clavier Padouk - Marimbas - Instruments de percussion
3567	MAR 43CO4003D	marimbas	marimba-concorde-4003d-4-octaves-1-3	Marimba CONCORDE M4003DL4 octaves 1/3 la2-do7, Clavier Padouk - Marimbas - Instruments de percussion
3570	MAR 50YA5100A	marimbas	marimba-yamaha-5100a-5-octaves	Marimba YAMAHA YM-⁠5100A 5 octaves do2-do7, Clavier Palissandre du Honduras - Marimbas - Instruments de percussion
3573	MAR 43CO6001	marimbas	marimba-concorde-6001-4-octaves-1-3	Marimba CONCORDE M60014 octaves 1/3 la2-do7, Clavier Palissandre du Honduras - Marimbas - Instruments de percussion
3576	MAR 45CO8001	marimbas	marimba-concorde-8001-4-octaves-1-2	Marimba CONCORDE M80014 octaves 1/2 fa2-do7, Clavier Palissandre du Honduras - Marimbas - Instruments de percussion
3580	MAR 50CO8000	marimbas	marimba-concorde-8000-5-octaves	Marimba CONCORDE M80005 octaves do2-do7, Clavier Palissandre du Honduras - Marimbas - Instruments de percussion
5821	VIB 30ADA001	vibraphones	vibraphone-adams-artist-3-octaves	Vibraphone ADAMS - 3 octaves fa3-fa6clavier argenté avec moteur (ancien modèle) - Vibraphones - Instruments de percussion
5824	VIB 30MUM55	vibraphones	vibraphone-musser-m55-pro-vibe-3-octaves	Vibraphone MUSSER M55 Pro-⁠Vibe avec moteur3 octaves fa3-fa6, clavier argenté - Vibraphones - Instruments de percussion
5827	VIB 30MUM58	vibraphones	vibraphone-musser-m58-piper-3-octaves	Vibraphone MUSSER M58 Piper 3 octaves fa3-fa6clavier argenté avec moteur (ancien modèle) - Vibraphones - Instruments de percussion
5828	VIB 30MUM75	vibraphones	vibraphone-musser-m75-century-3-octaves-clavier-dore	Vibraphone MUSSER Century avec moteur3 octaves fa3-fa6, clavier doré - Vibraphones - Instruments de percussion
5833	VIB 30YA1605	vibraphones	vibraphone-yamaha-1605-3-octaves	Vibraphone YAMAHA YV-⁠1605 avec moteur3 octaves fa3-fa6, clavier argenté - Vibraphones - Instruments de percussion
5837	VIB 30YA2700	vibraphones	vibraphone-yamaha-2700-3-octaves	Vibraphone YAMAHA  avec moteur3 octaves fa3-fa6, clavier argenté - Vibraphones - Instruments de percussion
5839	VIB 30YA3710M	vibraphones	vibraphone-yamaha-3710-3-octaves-clavier-dore-mate	Vibraphone YAMAHA YV-⁠3710M 3 octaves fa3-fa6Clavier doré mate avec moteur (ancien modèle) - Vibraphones - Instruments de percussion
5841	VIB 35YA3910M	vibraphones	vibraphone-yamaha-3910-3-octaves-1-2	Vibraphone YAMAHA  avec moteur3 octaves 1/2 do3-fa6, clavier doré mate - Vibraphones - Instruments de percussion
5843	VIB 40YA4110M	vibraphones	vibraphone-yamaha-4110-4-octaves	Vibraphone YAMAHA 4110M 4 octaves, do3-do7 - Vibraphones - Instruments de percussion
6023	XYL 35ADSLV3	xylophones	xylophone-adams-solist-voyager-3-octaves-1-2-light-rosewood	Xylophone ADAMS XS2LV35 Solist Voyager 3 octaves 1/2 fa4-do8, Clavier Light rosewood - Xylophones - Instruments de percussion
6024	XYL 40ADXSLV4	xylophones	xylophone-adams-solist-voyager-4-octaves-rosewood	Xylophone ADAMS XS2LV40 Solist Voyager 4 octaves do4-do8, Clavier Light rosewood - Xylophones - Instruments de percussion
6027	XYL 40ADXCHV	xylophones	xylophone-adams-concert-voyager-4-octaves-palissandre	Xylophone ADAMS Concert Voyager 4 octaves do4-do8, Clavier Palissandre du Honduras - Xylophones - Instruments de percussion
6028	XYL 35ADXKV3	xylophones	xylophone-adams-solist-voyager-3-octaves-1-2-synthetique	Xylophone ADAMS XS2KV35 Solist Voyager 3 octaves 1/2 fa4-do8, Clavier Composite - Xylophones - Instruments de percussion
6029	XYL 40ADXSHV	xylophones	xylophone-adams-solist-voyager-4-octaves-palissandre	Xylophone ADAMS Solist Voyager 4 octaves do4-do8, Clavier Palissandre du Honduras - Xylophones - Instruments de percussion
6035	XYL 35MUM51	xylophones	xylophone-musser-m51-3-octaves-1-2-kelon	Xylophone MUSSER M51 3 octaves 1/2 fa4-do8, Clavier Composite - Xylophones - Instruments de percussion
6036	XYL 35RS0001	xylophones	xylophone-d-etude-rythmes-sons-3-octaves-1-2	Xylophone d'étude ADAMS Etude 3 octaves 1/2 fa4-do8, Clavier Light rosewood avec pied réglable - Xylophones - Instruments de percussion
6041	XYL 25CO1001	xylophones	xylophone-concorde-1001-2-octaves-1-2-padouk	Xylophone d'étude CONCORDE Etude 2 octaves 1/2 fa5-do8, Clavier Padouk - Xylophones - Instruments de percussion
6046	XYL 40CO4002	xylophones	xylophone-concorde-4002-4-octaves-padouk	Xylophone CONCORDE  4 octaves do4-do8, Clavier Padouk - Xylophones - Instruments de percussion
6050	XYL 40CO6002	xylophones	xylophone-concorde-6002-4-octaves-palissandre	Xylophone CONCORDE  4 octaves do4-do8, Clavier Palissandre du Honduras - Xylophones - Instruments de percussion
6053		xylophones	xylophone-concorde-8002-4-octaves-palissandre	
6333	XYL Y350 04	xylophones	xylophone-yamaha-350-3-octaves-1-2-bois-de-rose	Xylophone YAMAHA YX-⁠350 3 octaves 1/2, fa4-do8 Clavier Padouk - Xylophones - Instruments de percussion
6334	MAR 43YA2400K	marimbas	marimba-yamahaym-2400a-4-octaves-1-3-palissandre	Marimba YAMAHA YM-⁠2400K 4 octaves 1/3, Composite - Marimbas - Instruments de percussion
6424	VIB 30MUM55G	vibraphones	vibraphone-musser-m55-pro-vibe3-octaves	Vibraphone MUSSER M55G Pro-⁠Vibe avec moteur3 octaves fa3-fa6, clavier doré - Vibraphones - Instruments de percussion
6428	GLO 35YA2500	glockenspiels	glockenspiel-yamaha-3-octaves-1-2-do5-mi8-avec-etouffoir	Glockenspiel à pédale YAMAHA YG-⁠2500, 3 octaves 1/2 Do5-Mi8 - Glockenspiels - Instruments de percussion
6430	VIB 30MUM75H	vibraphones	vibraphone-musser-m75-hampton-3-octaves	Vibraphone MUSSER Lionel Hampton Signature Century avec moteur3 octaves fa3-fa6, clavier doré - Vibraphones - Instruments de percussion
6534	MAR 50CO8000R	marimbas	marimba-concorde-8000r-5-octaves-reglable-en-hauteur	Marimba CONCORDE M8000 SP5 octaves do2-do7, Clavier Palissandre du Honduras - Marimbas - Instruments de percussion
6624	VIB R715 04	vibraphones	vibraphone-ross-concert-r715s-3-octaves	Vibraphone ROSS Concert R715 3 octaves fa3-fa6clavier argenté avec moteur (ancien modèle) - Vibraphones - Instruments de percussion
6625	VIB R704 04	vibraphones	vibraphone-ross-etude-r704-3-octaves	Vibraphone ROSS Etude R704 3 octaves fa3-fa6clavier argenté avec moteur (ancien modèle) - Vibraphones - Instruments de percussion
6626	XYL 35RO320	xylophones	xylophone-ross-concert-3-octaves-1-2-palissandre	Xylophone ROSS Concert 3 octaves 1/2, fa4-do8 Clavier Palissandre du Honduras - Xylophones - Instruments de percussion
6627	XYL R319 04	xylophones	xylophone-ross-prolon-3-octaves-1-2	Xylophone ROSS Prolon 3 octaves 1/2, fa4-do8 Clavier Composite - Xylophones - Instruments de percussion
