id	ref	cat2	cat3	slug
212	BEL 2027 06	metaux	cloches-clochettes-asiatiques	arbre-de-27-cloches-sur-support
213	BEL 3502 06	metaux	cloches-clochettes-asiatiques	une-paire-de-clochettes-5-cm
306	BNG 0105 06	instruments-peaux	bongos-congas-et-timbales-latines	bongos-meinl-7-pouces-et-8-pouces-peaux-animales
310	BNG LP 201AX2A	instruments-peaux	bongos-congas-et-timbales-latines	bongos-lp-generation-ii-7-pouces-1-4-8-pouces-5-8
313	BNG 7111 06	instruments-peaux	bongos-congas-et-timbales-latines	bongos-sonor-peaux-plastiques
315	BOO 1013 26	instruments-peaux	cooldrums-boobams	boo-bam-6-pouces
574	CAA HER2206	metaux	cymbales	cymbales-sabian-aa-heavy-ride-serie-22-pouces-56-cm
575	CAB 1001 06	instruments-effets	cabassas-guiros-et-kokiriko	cabassa
576	CAB 6001 06	instruments-effets	cabassas-guiros-et-kokiriko	cabassa-lp-modele-grand
618	CAS 0101 06	bois	castagnettes-claves	castagnette-d-etude-sur-manche-aigu
619	CAS 0102 06	bois	castagnettes-claves	castagnette-d-etude-sur-manche-medium
625	CAS 3105 26	bois	castagnettes-claves	castagnette-sur-manche-aigu
626	CAS 3107 26	bois	castagnettes-claves	castagnette-sur-manche-medium
629	CAS 3205 26	bois	castagnettes-claves	castagnette-sur-socle-aigu
630	CAS 3207 26	bois	castagnettes-claves	castagnette-sur-socle-medium
641	CCL LU63 06	instruments-peaux	caisses-claires-pads-tambours	caisse-claire-ludwig-supraphonic-14-pouces-x6-pouces-1-2-fut-metal
642	CCL LU63M06	instruments-peaux	caisses-claires-pads-tambours	caisse-claire-ludwig-supraphonic-14-pouces-x6-pouces-1-2-fut-aluminium-martele
643	CCL LU64 06	instruments-peaux	caisses-claires-pads-tambours	caisse-claire-ludwig-lm411-supra-phonic-super-sensitive-14-6pouces-1-2-fut-aluminium
650	CCL SO41 06	instruments-peaux	caisses-claires-pads-tambours	caisse-claire-sonor-s-class-maple-fut-bois-maple-light
651	CCL SO61 06	instruments-peaux	caisses-claires-pads-tambours	caisse-claire-sonor-designer-fut-bois-maple-light
659	CCL 0011 06	instruments-peaux	caisses-claires-pads-tambours	caisse-claire-linko-d-etude-14-pouces-x5-pouces
681	CEN 1010 06	metaux	cloches-vache-cencerros-cloche-latines	cencerro-6-cm-x-l8-cm
682	CEN 1011 06	metaux	cloches-vache-cencerros-cloche-latines	cencerro-6-cm-l10-cm
683	CEN 1013 06	metaux	cloches-vache-cencerros-cloche-latines	cencerro-7-cm-l12-cm
684	CEN 1015 06	metaux	cloches-vache-cencerros-cloche-latines	cencerro-8-cm-l14-cm
685	CEN 1017 06	metaux	cloches-vache-cencerros-cloche-latines	cencerro-9-cm-l16-cm
686	CEN 1020 06	metaux	cloches-vache-cencerros-cloche-latines	cencerro-9-cm-l19-cm
687	CEN 1023 06	metaux	cloches-vache-cencerros-cloche-latines	cencerro-10-cm-l22-cm
688	CEN 1026 06	metaux	cloches-vache-cencerros-cloche-latines	cencerro-11-cm-l25-cm
689	CEN 1031 06	metaux	cloches-vache-cencerros-cloche-latines	cencerro-13-cm-l30-cm
712	CHM 1836 06	metaux	triangles-chimes	bar-chimes-lp-36-barres-alu
726	CHO 1003 26	bois	chocoblocks-wood-blocks-et-mokubio	chocoblock-rythmes-sons-incassable
769	CIS CI20 06	metaux	cymbales	cymbale-istanbul-agop-china-tradition-20-pouces
771	CIS CI22 06	metaux	cymbales	cymbale-istanbul-agop-china-tradition-22-pouces
797	CIS HH13 06	metaux	cymbales	cymbale-istanbul-agop-hit-hat-heavy-13-pouces
