id	cat2	cat3	slug
1	timbales	accessoires	controleur-de-tension-de-peau
85	portiques-supports-accessoires	attaches	crochet-pour-polyblocks-avec-caoutchouc
86	portiques-supports-accessoires	attaches	attache-de-triangle-rythmes-sons-pour-pied-individuel
87	portiques-supports-accessoires	attaches	attache-triangle-rythmes-sons-pour-pied-individuel-avec-silenblock
88	portiques-supports-accessoires	attaches	attache-de-triangle-rythmes-sons
89	portiques-supports-accessoires	attaches	pince-a-triangle
90	portiques-supports-accessoires	attaches	attache-de-tambour-de-basque-pour-pied-individuel
91	portiques-supports-accessoires	attaches	attache-de-tambour-de-basque
92	portiques-supports-accessoires	attaches	attache-cloche-mambo-sur-crochet
94	portiques-supports-accessoires	attaches	attache-pour-cloche-accordee-octave-basse
95	portiques-supports-accessoires	attaches	attache-pour-cloche-accordee-octave-medium
96	portiques-supports-accessoires	attaches	attache-pour-cloche-accordee-octave-aigue
97	portiques-supports-accessoires	attaches	attache-articulable-pour-cymbale
101	portiques-supports-accessoires	attaches	attache-pour-wood-block-et-chocoblock
103	portiques-supports-accessoires	attaches	attache-pour-crotale-individuelle-hauteur-6-cm
104	portiques-supports-accessoires	attaches	attache-pour-crotale-individuelle-hauteur-8-5-cm
106	portiques-supports-accessoires	attaches	support-attache-cloche-sur-cercle-de-grosse-caisse
117	baguettes	maillets-mailloches	mailloche-adams-grosse-caisse-tete-moyenne-l-unite
118	baguettes	maillets-mailloches	mailloche-adams-de-grosse-caisse-tete-grosse-l-unite
119	baguettes	maillets-mailloches	mailloches-adams-de-grosse-caisse-roller-la-paire
120	baguettes	maillets-mailloches	mailloche-legere-adams-pour-gong-et-tam-tam
121	baguettes	maillets-mailloches	mailloche-lourde-adams-pour-gong-et-tam-tam
122	baguettes	musiciens	baguette-adams-mb1-la-paire
123	baguettes	musiciens	baguettes-timbale-adams-tc0-manche-erable-la-paire
124	baguettes	musiciens	baguettes-timbale-adams-tm0-manche-erable-la-paire
125	baguettes	musiciens	baguettes-timbale-adams-tm1-manche-erable-la-paire
126	baguettes	musiciens	baguettes-timbale-adams-tm2-manche-erable-la-paire
127	baguettes	musiciens	baguettes-timbale-adams-tm3-manche-erable-la-paire
128	baguettes	musiciens	baguettes-timbale-adams-tr1-manche-bouleau-la-paire
129	baguettes	musiciens	baguettes-timbale-adams-tr2-manche-bouleau-la-paire
130	baguettes	musiciens	baguettes-timbale-adams-tr3-manche-bouleau-la-paire
